iter	Logloss
0	0.6692540936
1	0.6485940123
2	0.6313644405
3	0.6171552375
4	0.6043378203
5	0.5915708272
6	0.5817808224
7	0.5733737469
8	0.5666182583
9	0.560590431
10	0.5556974531
11	0.549329246
12	0.5454215501
13	0.5397166135
14	0.5364888699
15	0.5317495265
16	0.5292430695
17	0.5269225325
18	0.5228967176
19	0.5195454646
20	0.5176752132
21	0.5146714284
22	0.5131318479
23	0.5116732611
24	0.5100347012
25	0.5089636315
26	0.5078360364
27	0.5068286521
28	0.5047255085
29	0.5027627478
30	0.5018956705
31	0.5011477612
32	0.5003826194
33	0.4996936529
34	0.4990536931
35	0.4975449902
36	0.4960891066
37	0.4955118317
38	0.4943018706
39	0.4937428933
40	0.4932235514
41	0.4920672372
42	0.491213115
43	0.4905663619
44	0.4901234426
45	0.4896535462
46	0.4891139111
47	0.4882200306
48	0.4877625704
49	0.4873870271
50	0.4864505987
51	0.4860944166
52	0.4857849616
53	0.485288955
54	0.4849833978
55	0.4846966724
56	0.4843928557
57	0.4841206043
58	0.4837602889
59	0.4833856432
60	0.4826345419
61	0.4819488127
62	0.4816747641
63	0.4813841362
64	0.48088019
65	0.4806507256
66	0.4801918298
67	0.4799578275
68	0.4796875876
69	0.4794473101
70	0.4786048352
71	0.4783800217
72	0.4782070689
73	0.4779694216
74	0.4776937884
75	0.4775277442
76	0.4771762402
77	0.4769200529
78	0.4767281644
79	0.476563751
80	0.476147225
81	0.4760112496
82	0.4758703416
83	0.4757020087
84	0.4752526341
85	0.4749073988
86	0.4747150085
87	0.474589527
88	0.4744376409
89	0.4741496924
90	0.4739800195
91	0.4738027827
92	0.4735037371
93	0.4733619888
94	0.4732155407
95	0.4730538085
96	0.4728344394
97	0.4727091447
98	0.4724934086
99	0.4722246165
100	0.4721175495
101	0.4719925303
102	0.4718112647
103	0.4716128935
104	0.4714402956
105	0.4713436847
106	0.4711655947
107	0.4710026994
108	0.4708224241
109	0.4706211717
110	0.4704890517
111	0.4703418586
112	0.470204352
113	0.4700691477
114	0.469948641
115	0.4697474211
116	0.4696122721
117	0.4694373484
118	0.469229326
119	0.468994316
120	0.4688387767
121	0.4687240872
122	0.4685911953
123	0.46840293
124	0.4682610702
125	0.4681638539
126	0.4680316563
127	0.4679141212
128	0.4677864429
129	0.4676416674
130	0.4675203224
131	0.467346475
132	0.4671923605
133	0.4670299775
134	0.4668536302
135	0.4666969488
136	0.4665749373
137	0.4664722973
138	0.466351691
139	0.4662345393
140	0.4661101766
141	0.4659957287
142	0.4658436967
143	0.4657250875
144	0.4655774958
145	0.4654823065
146	0.4653231148
147	0.4651825084
148	0.4650525241
149	0.464900117
150	0.4647816739
151	0.4646230669
152	0.464477001
153	0.4642996026
154	0.4642071235
155	0.4640789522
156	0.4639203223
157	0.4637597894
158	0.4636657614
159	0.4635766293
160	0.4634161512
161	0.4632669604
162	0.4630398226
163	0.4628552526
164	0.4626970049
165	0.4625476987
166	0.4624330507
167	0.4623002053
168	0.4622216648
169	0.4620847718
170	0.4619713076
171	0.4618028051
172	0.4616325587
173	0.4614603793
174	0.4613018768
175	0.4611811082
176	0.4610783364
177	0.4609640557
178	0.4607903726
179	0.4606515866
180	0.4605093282
181	0.4603095156
182	0.4602151852
183	0.4600977083
184	0.4599370277
185	0.4598037686
186	0.4596419221
187	0.4594559179
188	0.4593217286
189	0.4592316397
190	0.4591383987
191	0.4590436491
192	0.4588912523
193	0.4587259366
194	0.4586185109
195	0.458485429
196	0.4583758735
197	0.4582603501
198	0.4581409503
199	0.45803179
200	0.4579310547
201	0.4577920661
202	0.4576910362
203	0.4575525279
204	0.4574453213
205	0.4573338927
206	0.4572126856
207	0.4570940357
208	0.456948112
209	0.4568150605
