iter	Passed	Remaining
0	66	66401
1	74	37216
2	82	27440
3	90	22514
4	98	19642
5	106	17725
6	115	16332
7	123	15316
8	131	14482
9	139	13797
10	148	13306
11	155	12812
12	163	12431
13	172	12128
14	180	11842
15	188	11567
16	196	11387
17	208	11352
18	215	11127
19	223	10947
20	231	10799
21	239	10632
22	247	10504
23	255	10393
24	263	10282
25	271	10185
26	279	10082
27	287	9995
28	295	9896
29	303	9814
30	311	9752
31	320	9692
32	328	9631
33	337	9575
34	345	9518
35	353	9457
36	361	9403
37	369	9357
38	377	9308
39	385	9257
40	393	9214
41	401	9155
42	409	9112
43	417	9077
44	427	9063
45	435	9030
46	443	8994
47	454	9013
48	464	9017
49	475	9025
50	483	9003
51	493	8999
52	503	8988
53	512	8984
54	521	8968
55	530	8935
56	537	8899
57	546	8873
58	554	8843
59	562	8819
60	572	8812
61	581	8793
62	589	8763
63	597	8736
64	604	8695
65	612	8672
66	620	8641
67	628	8618
68	636	8593
69	645	8570
70	652	8541
71	661	8520
72	668	8493
73	677	8472
74	685	8450
75	693	8437
76	705	8451
77	713	8431
78	721	8411
79	729	8389
80	737	8368
81	745	8348
82	753	8328
83	761	8308
84	769	8288
85	778	8269
86	786	8250
87	794	8229
88	801	8206
89	809	8185
90	817	8165
91	826	8157
92	834	8138
93	842	8119
94	850	8104
95	859	8090
96	867	8078
97	875	8058
98	883	8040
99	891	8026
100	899	8010
101	908	7994
102	915	7975
103	923	7959
104	931	7941
105	939	7924
106	950	7935
107	959	7920
108	967	7907
109	975	7892
110	983	7879
111	992	7865
112	999	7847
113	1007	7831
114	1015	7817
115	1023	7802
116	1031	7787
117	1039	7772
118	1047	7756
119	1055	7736
120	1063	7723
121	1070	7701
122	1078	7686
123	1085	7668
124	1093	7655
125	1101	7642
126	1110	7631
127	1118	7618
128	1126	7605
129	1134	7591
130	1142	7577
131	1149	7560
132	1157	7546
133	1164	7527
134	1172	7514
135	1180	7499
136	1188	7487
137	1197	7477
138	1206	7471
139	1214	7457
140	1221	7444
141	1230	7434
142	1238	7422
143	1246	7411
144	1254	7397
145	1262	7385
146	1270	7373
147	1278	7361
148	1286	7349
149	1294	7338
150	1302	7324
151	1310	7313
152	1318	7299
153	1326	7286
154	1334	7275
155	1342	7263
156	1351	7255
157	1359	7243
158	1367	7231
159	1375	7220
160	1383	7208
161	1391	7195
162	1398	7182
163	1406	7170
164	1415	7164
165	1423	7152
166	1431	7140
167	1439	7127
168	1448	7122
169	1456	7109
170	1464	7097
171	1471	7083
172	1479	7073
173	1487	7061
174	1494	7045
175	1502	7034
176	1510	7025
177	1519	7015
178	1527	7004
179	1535	6992
180	1543	6981
181	1550	6970
182	1558	6959
183	1567	6949
184	1574	6938
185	1582	6927
186	1591	6917
187	1599	6906
188	1606	6895
189	1614	6884
190	1622	6872
191	1630	6861
192	1637	6848
193	1645	6837
194	1653	6825
195	1661	6814
196	1668	6802
197	1676	6792
198	1684	6782
199	1694	6777
200	1705	6781
201	1714	6771
202	1722	6761
203	1729	6750
204	1737	6737
205	1745	6727
206	1752	6715
207	1761	6705
208	1768	6694
209	1776	6683
210	1784	6672
211	1791	6660
212	1799	6650
213	1806	6636
214	1814	6626
215	1823	6616
216	1831	6606
217	1838	6595
218	1847	6587
219	1855	6577
220	1864	6572
221	1871	6560
222	1880	6552
223	1889	6546
224	1898	6538
